Assumes 1 GHz with clock period of 1 ns or 1000 ps
count=        307 wc_time=         48 seconds, rt_time=     596000 ps, cycles/sec= 12.416667
count=        308 wc_time=         47 seconds, rt_time=     598000 ps, cycles/sec= 12.723404
count=        309 wc_time=         45 seconds, rt_time=     557000 ps, cycles/sec= 12.377778
count=        310 wc_time=         45 seconds, rt_time=     562000 ps, cycles/sec= 12.488889
count=        311 wc_time=         54 seconds, rt_time=     677000 ps, cycles/sec= 12.537037
count=        312 wc_time=         52 seconds, rt_time=     642000 ps, cycles/sec= 12.346154
count=        313 wc_time=         47 seconds, rt_time=     590000 ps, cycles/sec= 12.553191
count=        314 wc_time=         51 seconds, rt_time=     641000 ps, cycles/sec= 12.568627
count=        315 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        316 wc_time=         48 seconds, rt_time=     595000 ps, cycles/sec= 12.395833
count=        317 wc_time=         48 seconds, rt_time=     597000 ps, cycles/sec= 12.437500
count=        318 wc_time=         47 seconds, rt_time=     599000 ps, cycles/sec= 12.744681
count=        319 wc_time=         49 seconds, rt_time=     603000 ps, cycles/sec= 12.306122
count=        320 wc_time=         47 seconds, rt_time=     591000 ps, cycles/sec= 12.574468
count=        321 wc_time=         44 seconds, rt_time=     525000 ps, cycles/sec= 11.931818
count=        322 wc_time=         48 seconds, rt_time=     598000 ps, cycles/sec= 12.458333
count=        323 wc_time=         51 seconds, rt_time=     635000 ps, cycles/sec= 12.450980
count=        324 wc_time=         55 seconds, rt_time=     676000 ps, cycles/sec= 12.290909
count=        325 wc_time=         51 seconds, rt_time=     645000 ps, cycles/sec= 12.647059
count=        326 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=        327 wc_time=         49 seconds, rt_time=     599000 ps, cycles/sec= 12.224490
count=        328 wc_time=         48 seconds, rt_time=     599000 ps, cycles/sec= 12.479167
count=        329 wc_time=         44 seconds, rt_time=     554000 ps, cycles/sec= 12.590909
count=        330 wc_time=         45 seconds, rt_time=     551000 ps, cycles/sec= 12.244444
